mc,ramp,capacity,ner,ser,cer,cher
1.13126056,6.75,7.5,0.0427,0.0008,27.2641,0.5425
11.1327034,360.24,600.4,1.5974,8.163,2048.4194,22.7146
11.2585936,2405.04,4008.4,0.5334,4.4805,2025.4293,22.9715
11.405985,272.1,453.5,1.2338,6.963,2053.0785,23.2722
11.9412044,1188,1980,1.5731,7.6777,2280.7705,24.3642
11.95978115,1014,1690,1.0709,4.7424,2152.7611,24.4021
12.04716466,712.08,1186.8,1.4977,14.4004,2301.0093,24.5804
12.58279229,831.6,1386,1.3906,0.4914,2264.9021,25.6733
12.59973862,559.2,932,1.5863,7.3918,2267.9495,25.7079
12.73652791,432,720,3.595,1.9079,2343.5202,25.987
21.58579517,396.9,661.5,0.9775,1.2613,2093.422,22.4145
22.99767456,1109.88,1849.8,2.0112,3.4886,2235.4787,23.8806
23.01584233,5.85,6.5,0.4366,0.0163,554.6955,11.0381
23.59635219,1427.76,2379.6,1.8403,8.4195,2293.6917,24.5023
23.80826605,209.52,349.2,1.3565,4.317,2314.3069,24.7223
23.98021827,270,300,0.1507,0.003,608.5832,11.5006
24.23031725,388.8,432,0.16,0.003,593.8058,11.6206
24.26360586,354.36,590.6,2.2861,11.9122,2358.559,25.1952
24.3699904,1077.24,1795.4,0.6623,0.5568,2365.3251,25.3056
25.3505329,92.16,102.4,0.4809,0.0177,610.963,12.1578
25.58636949,826.47,918.3,0.0573,0.0032,627.0343,12.2709
25.63926407,36.9,41,0.4864,0.0181,617.9216,12.2963
26.02613063,86.4,96,0.4937,0.0184,627.2453,12.4818
26.03747817,418.68,465.2,0.6486,0.0032,638.0921,12.4873
26.04273121,23.13,25.7,0.494,0.0181,627.6454,12.4898
26.1218512,36.9,41,0.4955,0.0186,629.5522,12.5277
26.20545986,514.8,572,0.0522,0.0029,642.2094,12.5678
26.57839964,643.5,715,0.079,0.0089,651.3419,12.7467
26.7414741,56.79,63.1,0.9519,0.0175,644.4855,12.8249
26.84721574,774.9,861,0.0595,0.029,657.9344,12.8756
27.00957795,246,410,2.2144,7.7325,2625.4768,28.0466
27.02738888,896.4,996,0.0422,0.0033,662.3499,12.962
27.03400719,31.5,35,0.5769,0.0198,658.2049,12.9652
27.35173117,343.62,381.8,0.5188,0.0194,659.193,13.1176
27.87429733,909.54,1010.6,0.3161,0.0195,671.7872,13.3682
28.25667521,733.5,815,0.2315,0.0035,683.7065,13.5516
28.82762303,46.89,52.1,0.3738,0.0204,694.7629,13.8254
29.04337771,226.8,252,0.5974,0.0205,726.3983,13.9288
30.43762224,5.04,5.6,0.5774,0.022,733.5648,14.5975
30.66510373,51.03,56.7,0.5817,0.022,772.093,14.7066
31.5449854,148.5,165,0.4597,0.0226,760.253,15.1286
32.60026149,405,450,0.2745,0.0038,798.9234,15.6347
32.6401217,171.99,191.1,0.5719,0.0231,786.6464,15.6538
33.42759777,6.21,6.9,0.6341,0.0237,805.625,16.0315
33.55965842,39.78,44.2,0.6366,0.0237,808.8078,16.0948
33.97176341,376.2,418,0.2021,0.0042,832.5336,16.2924
34.7537357,981.72,1090.8,0.2232,0.0043,851.6984,16.6675
34.79340336,576,640,0.1152,0.0043,852.673,16.6865
34.82356454,535.5,595,0.1207,0.0043,853.4091,16.701
34.94148696,890.1,989,0.0977,0.0043,856.2933,16.7575
34.95365173,620.46,689.4,2.9222,0.0223,752.2887,14.9701
35.09860562,671.4,746,0.1263,0.0043,860.1502,16.8329
35.16339871,1233,1370,0.2201,0.0043,861.7372,16.8639
35.25357864,1027.98,1142.2,0.2749,0.0044,863.9493,16.9072
35.37271064,495,550,0.2051,0.0044,866.862,16.9643
35.56933643,1605.42,1783.8,0.2436,0.0044,871.685,17.0586
35.65605589,481.95,535.5,0.0701,0.0044,873.8084,17.1002
35.69734054,845.73,939.7,0.2848,0.0044,874.8212,17.12
35.8523446,720.9,801,0.2421,0.0044,878.6225,17.1943
35.90337388,932.4,1036,0.3127,0.0044,879.8653,17.2188
35.9061345,823.14,914.6,0.1185,0.0044,879.9382,17.2201
36.08317841,808.38,898.2,0.2088,0.0045,884.2771,17.305
36.11076861,3.33,3.7,0.685,0.0253,870.2911,17.3183
36.56901601,608.04,675.6,0.1037,0.0045,896.214,17.538
36.69514705,207,230,0.9383,0.0046,899.2802,17.5985
36.93494123,728.64,809.6,0.2879,0.0046,905.1508,17.7135
36.96369785,496.17,551.3,0.2959,0.0046,905.8563,17.7273
37.19234577,1560.6,1734,0.1034,0.0046,911.4577,17.837
37.24617446,845.64,939.6,0.2428,0.0046,912.7813,17.8628
37.29648642,159.57,177.3,0.7075,0.0265,898.8676,17.8869
37.77595257,476.1,529,0.3175,0.0047,925.7567,18.1169
37.89713128,655.02,727.8,0.2752,0.0047,928.7458,18.175
38.19882019,1021.68,1135.2,0.4229,0.0047,936.1231,18.3197
38.64025361,726.3,807,1.1218,0.0048,946.9564,18.5314
38.7144989,7.6,7.6,4.467,31.773,1245.0835,12.8643
38.95572186,138.51,153.9,0.4418,0.0284,938.8561,18.6827
39.18090397,626.76,696.4,0.1533,0.0048,960.1912,18.7907
39.21250754,509.49,566.1,0.1489,0.0048,960.9734,18.8058
39.32882121,406.71,451.9,0.1843,0.0048,963.8222,18.8616
39.54345893,493.38,548.2,2.6605,0.0259,890.7893,17.7262
40.36427244,254.34,282.6,0.2757,0.005,989.1938,19.3582
41.225,5.49,6.1,0.7866,0.0285,993.7171,19.7881
41.225,72,80,0.4675,0.0289,993.5471,19.771
41.225,11.16,12.4,0.0001,0,0.1133,0.0023
41.74781933,448.11,497.9,0.7716,0.0313,1006.1473,20.0217
42.9250351,217.8,242,0.2027,0.0053,1051.8976,20.5863
43.77967688,0.99,1.1,2.4462,0.0372,1055.1163,20.9962
44.00461988,405.72,450.8,0.1083,0.0054,1078.4006,21.1041
44.49744341,515.7,573,0.1644,0.0056,1090.4821,21.3404
44.51091574,225,250,1.2046,0.0055,1090.8426,21.3469
44.73143069,6.48,7.2,2.4994,0.0359,1078.0542,21.4526
45.41507069,83.43,92.7,0.8253,0.0318,1094.5303,21.7805
45.85980405,36,40,0.8699,0.0331,1105.2486,21.9938
47.54251543,151.2,168,0.6462,0.0329,1145.803,22.8008
48.3287672,6,6,9.3482,2.7561,1125.6796,48.1769
48.58014286,1056.33,1173.7,0.369,0.0061,1170.8104,23.2984
48.791097,3.6,4,0,0,0,0
48.81350497,216.18,240.2,0.2144,0.0108,1195.0993,23.4583
49.68342086,1.44,1.6,0,0,0,0
49.98083838,284.76,316.4,1.5723,0.0343,1179.3106,23.4676
50.1818088,376.47,418.3,0.4414,0.0062,1229.7452,24.0666
51.24722479,973.98,1082.2,2.1938,0.0063,1255.9547,24.5775
51.5981024,517.95,575.5,0.3569,0.0064,1264.4994,24.7458
52.25287423,579.24,643.6,0.1768,0.0065,1280.544,25.0598
52.2863887,8.64,9.6,0,0,0,0
52.51381732,401.4,446,1.5086,0.0072,1287.0283,25.185
52.60807222,1377,1530,0.334,0.0065,1289.2398,25.2302
53.74062385,838.8,932,1.3704,0.0066,1315.9279,25.7733
53.87093656,984.6,1094,1.8589,0.0157,1320.5903,25.8358
54.94084511,7.38,8.2,0,0,0,0
54.98505431,642.06,713.4,1.0848,0.0068,1347.4957,26.3702
55.05799443,7.56,8.4,0,0,0,0
55.33804847,4.68,5.2,0,0,0,0
55.69080788,1041.12,1156.8,2.0496,0.0229,1361.2352,26.7086
55.73883161,163.26,181.4,0.5435,0.0151,1366.7606,26.822
55.77630029,4.68,5.2,0,0,0,0
56.80294489,1057.86,1175.4,2.6742,0.007,1392.0554,27.242
56.80555759,182.88,203.2,0.9206,0.0071,1392.0857,27.2432
56.97159297,802.8,892,1.5596,0.0104,1396.975,27.3229
57.24359649,5.76,6.4,0,0,0,0
57.6674215,571.23,634.7,2.6135,0.0071,1413.2651,27.6566
57.71248043,212.4,236,0.3968,0.0072,1404.1789,27.6782
57.72468933,575.1,639,1.0777,0.0071,1414.6127,27.684
57.77587623,862.47,958.3,0.3653,0.0071,1415.8984,27.7086
58.18199438,543.24,603.6,1.7333,0.0085,1426.4777,27.9034
58.28857458,5.76,6.4,0,0,0,0
58.89693385,1289.97,1433.3,0.1478,0.0073,1443.3608,28.2462
58.95945471,787.59,875.1,1.9536,0.0073,1444.8602,28.2762
60.39843807,3.6,4,0,0,0,0
60.67030531,384.93,427.7,0.625,0.0075,1486.7584,29.0967
61.4606293,1241.73,1379.7,1.9817,0.0084,1505.671,29.4758
61.7636151,91.71,101.9,3.0165,0.0078,1513.5199,29.6211
62.01387656,834.75,927.5,0.4369,0.0117,1523.1517,29.7411
67.00945464,218.97,243.3,2.3416,0.0083,1642.2002,32.1369
67.95431952,158.76,176.4,0.2651,0.0084,1665.4914,32.5901
68.90398201,113.85,126.5,0.5496,0.0085,1688.5406,33.0455
69.30594904,289.44,321.6,2.4407,0.0086,1698.455,33.2383
71.24877271,11.16,12.4,0,0,0,0
75.70984976,1101.87,1224.3,4.5482,0.0092,1824.6525,36.3095
75.79284247,342.27,380.3,3.7342,0.0097,1857.7765,36.3493
77.82299379,987.66,1097.4,3.2542,0.0099,1901.2189,37.3229
77.84088253,12.87,14.3,3.8458,0.186,1891.21,38.8633
85.45323398,309.6,344,1.9937,0.0104,2093.9386,40.9823
88.6883159,76.23,84.7,2.8837,0.046,2169.6483,42.7893
89.04250994,790.56,878.4,2.1168,0.011,2165.3286,42.7037
91.79769164,124.2,138,1.7413,0.0667,2212.3791,44.025
93.90248833,210.6,234,3.4078,0.0628,2263.106,45.0345
97.3171773,184,184,0.524,8.6614,2971.5969,32.3371
100.9305346,69.2,69.2,0.5013,0.8681,2347.5962,33.5378
158.8640928,3.4,3.4,30.6413,8.484,3696.5515,157.9888
386.96,10.8,10.8,74.8491,22.1431,9013.1203,385.7438
